id,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label
0,Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7,FALSE,14207,NA,7/12/2016 0:56,FALSE,NA,752668000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5256,FALSE,FALSE,NA,NA,-1
1,Speech on Veterans' Reform:  https://t.co/XB7RMwesMK,FALSE,9666,NA,7/11/2016 22:18,FALSE,NA,752628000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3432,FALSE,FALSE,NA,NA,-1
2,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,FALSE,25531,NA,7/11/2016 21:40,FALSE,NA,752619000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8810,FALSE,FALSE,NA,NA,-1
3,Thoughts and prayers with the victims; and their families- along with everyone at the Berrien County Courthouse in St. Joseph; Michigan.,FALSE,28850,NA,7/11/2016 19:51,FALSE,NA,752591000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9112,FALSE,FALSE,NA,NA,-1
4,Join me in Westfield; Indiana- tomorrow night at 7:30pm! #Trump2016   Tickets: https://t.co/Jj9TmSEoOd https://t.co/Rq6YRHlpib,FALSE,12567,NA,7/11/2016 11:57,FALSE,NA,752472000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4144,FALSE,FALSE,NA,NA,-1
5,I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily; few people are watching - dead network!,FALSE,22978,NA,7/10/2016 18:58,FALSE,NA,752215000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6564,FALSE,FALSE,NA,NA,1
6,The media is so dishonest. If I make a statement; they twist it and turn it to make it sound bad or foolish.They think the public is stupid!,FALSE,44600,NA,7/10/2016 18:42,FALSE,NA,752211000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,14520,FALSE,FALSE,NA,NA,1
7,President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!,FALSE,35167,NA,7/10/2016 18:27,FALSE,NA,752208000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11975,FALSE,FALSE,NA,NA,1
8,Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton. We are a divided nation!,FALSE,55495,NA,7/10/2016 12:02,FALSE,NA,752111000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,19030,FALSE,FALSE,NA,NA,1
9,New poll - thank you! #Trump2016  https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3,FALSE,24040,NA,7/9/2016 21:22,FALSE,NA,751889000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9147,FALSE,FALSE,NA,NA,-1
10,Way to go @serenawilliams  - you are a true champion. Proud of you!,FALSE,25035,NA,7/9/2016 15:18,FALSE,NA,751798000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5710,FALSE,FALSE,NA,NA,1
11,MAKE AMERICA SAFE AGAIN!  https://t.co/m0AJWlV8nm https://t.co/P0GleHEmJy,FALSE,39088,NA,7/8/2016 23:26,FALSE,NA,751558000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14639,FALSE,FALSE,NA,NA,-1
12,Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?,FALSE,42313,NA,7/8/2016 21:31,FALSE,NA,751529000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14074,FALSE,FALSE,NA,NA,-1
13,Due to the horrific events taking place in our country; I have decided to postpone my speech on economic opportunity- today in Miami.,FALSE,40857,NA,7/8/2016 14:32,FALSE,NA,751424000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8989,FALSE,FALSE,NA,NA,-1
14,Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://t.co/mwzYU98yTt,FALSE,19591,NA,7/8/2016 13:20,FALSE,NA,751406000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7401,FALSE,FALSE,NA,NA,-1
15,Prayers and condolences to all of the families who are so thoroughly devastated by the horrors we are all watching take place in our country,FALSE,84236,NA,7/8/2016 11:02,FALSE,NA,751371000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,28851,FALSE,FALSE,NA,NA,1
16,After today; Crooked Hillary can officially be called Lyin' Crooked Hillary.,FALSE,54637,NA,7/8/2016 1:52,FALSE,NA,751232000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,20210,FALSE,FALSE,NA,NA,1
17,Thank you Speaker @PRyan!  #AmericaFirst #Trump2016  https://t.co/PPsyxGPdFc,FALSE,14757,NA,7/7/2016 20:09,FALSE,NA,751146000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4601,FALSE,FALSE,NA,NA,-1
18,#MakeAmericaGreatAgain  https://t.co/fxlVgfAA1l,FALSE,18399,NA,7/7/2016 20:06,FALSE,NA,751145000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6593,FALSE,FALSE,NA,NA,-1
19,Thank you Rep. Collins! #Trump2016 https://t.co/zkmPywMDxg,FALSE,10670,NA,7/7/2016 20:04,FALSE,NA,751145000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3330,FALSE,FALSE,NA,NA,-1
20,Just leaving D.C. Had great meetings with Republicans in the House and Senate. Very interesting day! These are people who love our country!,FALSE,27451,NA,7/7/2016 18:07,FALSE,NA,751115000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6908,FALSE,FALSE,NA,NA,1
21,Great being in Cincinnati; Ohio last night- thank you! Off to Washington D.C. now. #Trump2016 #AmericaFirst https://t.co/sryJgRyd56,FALSE,19774,NA,7/7/2016 11:33,FALSE,NA,751016000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5012,FALSE,FALSE,NA,NA,-1
22,Where is the outrage for this Disney book? Is this the 'Star of David' also?   Dishonest media! #Frozen https://t.co/4LJBpSm8xa,FALSE,62121,NA,7/7/2016 1:34,FALSE,NA,750865000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,26442,FALSE,FALSE,NA,NA,-1
23,To all of my twitter followers; please contribute whatever you can to the campaign. We must beat Crooked Hillary. https://t.co/Xv8Q1GuWiH,FALSE,24746,NA,7/6/2016 21:58,FALSE,NA,750811000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9735,FALSE,FALSE,NA,NA,-1
24,I have over seven million hits on social media re Crooked Hillary Clinton. Check it out Sleepy Eyes; @MarkHalperin @NBCPolitics,FALSE,16859,NA,7/6/2016 14:06,FALSE,NA,750692000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5092,FALSE,FALSE,NA,NA,1
25,Sleepy eyes Chuck Todd; a man with so little touch for politics; is at it again.He could not have watched my standing ovation speech in N.C.,FALSE,15349,NA,7/6/2016 14:01,FALSE,NA,750691000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4284,FALSE,FALSE,NA,NA,1
26,Even the once great Caesars is bankrupt in A.C. Others to follow. Ask the Democrat City Council what happened to Atlantic City.,FALSE,14936,NA,7/6/2016 13:24,FALSE,NA,750682000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4998,FALSE,FALSE,NA,NA,1
27,Hillary Clinton should ask why the Democrat pols in Atlantic City made all the wrong moves - Convention Center; Airport - and destroyed City,FALSE,13763,NA,7/6/2016 13:12,FALSE,NA,750679000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4352,FALSE,FALSE,NA,NA,1
28,I made a lot of money in Atlantic City and left 7 years ago; great timing (as all know). Pols made big mistakes; now many bankruptcies.,FALSE,13041,NA,7/6/2016 13:08,FALSE,NA,750678000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3547,FALSE,FALSE,NA,NA,1
29,Crooked Hillary Clinton lied to the FBI and to the people of our country. She is sooooo guilty. But watch; her time will come!,FALSE,28750,NA,7/6/2016 12:31,FALSE,NA,750668000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,10586,FALSE,FALSE,NA,NA,1
30,The rigged system may have helped Hillary Clinton escape criminal charges; but...https://t.co/KO64IAMDgj https://t.co/8CBSfNpl2l,FALSE,16390,NA,7/6/2016 12:11,FALSE,NA,750663000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7229,FALSE,FALSE,NA,NA,-1
31,Crooked Hillary has once again been proven to be a person who is dishonest; incompetent and of very bad judgement.,FALSE,24763,NA,7/6/2016 11:21,FALSE,NA,750651000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8616,FALSE,FALSE,NA,NA,1
32,"Crooked Hillary Clinton and her team ""were extremely careless in their handling of very sensitive; highly classified information."" Not fit!",FALSE,23406,NA,7/6/2016 11:12,FALSE,NA,750649000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,7942,FALSE,FALSE,NA,NA,1
33,Crooked Hillary Clinton is unfit to serve as President of the U.S. Her temperament is weak and her opponents are strong. BAD JUDGEMENT!,FALSE,26650,NA,7/6/2016 4:36,FALSE,NA,750549000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8526,FALSE,FALSE,NA,NA,1
34,"I don't think the voters will forget the rigged system that allowed Crooked Hillary to get away with ""murder."" Come November 8; she's out!",FALSE,37549,NA,7/6/2016 4:30,FALSE,NA,750547000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,13115,FALSE,FALSE,NA,NA,1
35,Raised a lot of money for the Republican Party. There will be a big gasp when the figures are announced in the morning. Lots of support! Win,FALSE,25629,NA,7/6/2016 4:23,FALSE,NA,750546000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6187,FALSE,FALSE,NA,NA,1
36,I will be interviewed by @oreillyfactor tonight on @FoxNews at 11pm. Enjoy!,FALSE,10820,NA,7/6/2016 2:21,FALSE,NA,750515000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2356,FALSE,FALSE,NA,NA,-1
37,My son; @EricTrump will be interviewed by @SeanHannity tonight at 10pm on @FoxNews. Enjoy!,FALSE,12470,NA,7/6/2016 0:52,FALSE,NA,750493000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2782,FALSE,FALSE,NA,NA,-1
38,It was great spending time with @joniernst yesterday. She has done a fantastic job for the people of Iowa and U.S. Will see her again!,FALSE,15247,NA,7/5/2016 12:05,FALSE,NA,750300000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3873,FALSE,FALSE,NA,NA,1
